iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
1980,United Kingdom,WAAR,ONWAAR,Assassination,Government,Northern Ireland,Irish Republican Extremists,Firearms,1,1980-04-17,4
1980,Italy,ONWAAR,ONWAAR,Assassination,Government,Turkey,Justice Commandos for the Armenian Genocide,Firearms,0,1980-04-17,4
1980,Italy,WAAR,ONWAAR,Facility Attack,Private property,Italy,Armed Revolutionary Nuclei (NAR),Chemical,0,1980-04-18,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-11-07,11
1980,France,ONWAAR,ONWAAR,Explosion,Government,Turkey,New Armenian Resistance,Bombs,0,1980-04-19,4
1980,France,WAAR,ONWAAR,Explosion,Government,France,Unknown,Bombs,0,1980-04-19,4
1980,Spain,WAAR,ONWAAR,Assassination,Private property,Spain,Spanish Basque Battalion (BBE) (rightist),Firearms,1,1980-04-19,4
1980,United Kingdom,WAAR,ONWAAR,Explosion,Government,Great Britain,Irish Republican Army (IRA),Bombs,0,1980-04-19,4
1980,Italy,WAAR,ONWAAR,Assassination,Private property,Libya,Libyan Students (Sponsored by Qadaffi Regime),Firearms,1,1980-04-19,4
1971,United Kingdom,WAAR,ONWAAR,Assassination,Government,Great Britain,Irish Republican Army (IRA),Firearms,1,1971-11-09,11
