iyear,country,success,suicide,attack_type,target_type,target_nationality,group_name,weapon_type,nkill,date,month
2015,Ukraine,WAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2015-01-05,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2015-01-05,1
2015,Ukraine,WAAR,ONWAAR,Facility Attack,Private property,Ukraine,Unknown,Incendiary,0,2015-01-05,1
2015,Bulgaria,WAAR,ONWAAR,Facility Attack,Hate crimes,Bulgaria,Unaffiliated Individual(s),Incendiary,0,2015-01-05,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2015-01-09,1
2015,Ukraine,ONWAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2015-01-09,1
2015,Ukraine,ONWAAR,ONWAAR,Explosion,Public services,Ukraine,Unknown,Bombs,0,2015-01-09,1
2015,Ukraine,WAAR,ONWAAR,Kidnapping,Public services,Ukraine,Luhansk People's Republic,Unknown,0,2015-01-09,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Luhansk People's Republic,Bombs,3,2015-01-10,1
2015,Ukraine,WAAR,ONWAAR,Facility Attack,Private property,Ukraine,Revenge Movement,Incendiary,0,2015-01-11,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Kharkiv Partisans,Bombs,0,2015-01-11,1
2015,Ukraine,WAAR,ONWAAR,Explosion,Private property,Ukraine,Unknown,Bombs,0,2015-01-11,1
